ఆఫ్రికా	Afrika
జపాన్	Japan
దక్షిణ అమెరికా	Sør-Amerika
నార్వే	Norge
ఇంగ్లాండు	England
స్కాట్లాండ్	Skottland
వేల్స్	Wales
రిపబ్లిక్ ఆఫ్ ఐర్లాండ్	Irland
హంగేరి	Ungarn
స్పెయిన్	Spania
అమెరికా సంయుక్త రాష్ట్రాలు	USA
బెల్జియం	Belgia
విశ్వం	Universet
భూమి	Jorden
జీవం	Liv
మరణం	Død
మానవుడు	Menneske
సంతోషం	Lykke
జార్జి వాషింగ్టన్	George Washington
టిమ్ బెర్నర్స్ లీ	Tim Berners-Lee
ఫిన్‌లాండ్	Finland
స్వీడన్	Sverige
డెన్మార్క్	Danmark
పోలాండ్	Polen
లిథువేనియా	Litauen
ఇటలీ	Italia
స్విట్జర్లాండ్	Sveits
ఆస్ట్రియా	Østerrike
గ్రీస్	Hellas
టర్కీ	Tyrkia
బీరు	Øl
పోర్చుగల్	Portugal
ఐరోపా	Europa
ఆసియా	Asia
ఉత్తర అమెరికా	Nord-Amerika
అంటార్కిటికా	Antarktika
వికీపీడియా	Wikipedia
నెదర్లాండ్స్	Nederland
శిశ్నము	Penis
పిహెచ్‌పి(PHP)	PHP
న్యూయార్క్	New York
వాషింగ్టన్, డి.సి.	Washington, D.C.
శాన్ ఫ్రాన్సిస్కో	San Francisco
బెర్లిన్	Berlin
లాస్ ఏంజలెస్	Los Angeles
ఎయిర్‌బస్	Airbus
కంప్యూటర్	Datamaskin
ఇంటర్నెట్	Internett
బరాక్ ఒబామా	Barack Obama
కంప్యూటర్ ప్రింటర్	Skriver
మీడియావికీ	MediaWiki
లండన్	London
కైరో	Kairo
తలనొప్పి	Hodepine
అలెగ్జాండ్రియా	Alexandria
ఆపిల్	Epleslekten
పారిస్	Paris
అబ్రహం లింకన్	Abraham Lincoln
ఆండ్రాయిడ్	Android
గూగుల్	Google
మెక్సికో	Mexico
అట్లాంటిక్ మహాసముద్రం	Atlanterhavet
పసిఫిక్ మహాసముద్రం	Stillehavet
కాలిఫోర్నియా	California
బోస్టన్	Boston
సోమవారము	Mandag
అంతరిక్షం	Rom (fysikk)
జనవరి	Januar
ఫిబ్రవరి	Februar
మార్చి	Mars (måned)
అంగారకుడు	Mars (planet)
కెన్యా	Kenya
ఇథియోపియా	Etiopia
ఘనా	Ghana
ఏప్రిల్	April
మే	Mai
జూన్	Juni
జూలై	Juli
ఆగష్టు	August
సెప్టెంబర్	September
అక్టోబర్	Oktober
నవంబర్	November
డిసెంబర్	Desember
మంగళవారము	Tirsdag
బుధవారము	Onsdag
గురువారము	Torsdag
శుక్రవారము	Fredag
శనివారము	Lørdag
ఆదివారము	Søndag
సింహం	Løve
ఫ్రాన్స్	Frankrike
కుక్క	Tamhund
యునైటెడ్ కింగ్‌డమ్	Storbritannia
పిల్లి	Tamkatt
చైనా	Folkerepublikken Kina
ఫ్రెంచి భాష	Fransk
చేప	Fisk
బ్రెజిల్	Brasil
ఆల్కహాలు	Alkoholer
రష్యా	Russland
ఆప్టికల్ ఫైబర్	Fiberoptikk
సముద్రం	Hav
నల్ల సముద్రం	Svartehavet
పై	Pi
వికీ	Wiki
టొరంటో	Toronto
అలబామా	Alabama
బోయింగ్ 747	Boeing 747
వికీమీడియా ఫౌండేషన్	Wikimedia Foundation
జిమ్మీ వేల్స్	Jimmy Wales
జర్మనీ	Tyskland
బెలారస్	Hviterussland
లారీ సాంగర్	Larry Sanger
జర్మన్ భాష	Tysk
ఐస్‌లాండ్	Island
దేవుడు	Gud
ఎస్టోనియా	Estland
చాక్లెట్	Sjokolade
విమానం	Fly
యుద్ధం	Krig
ఒకటి	1 (tall)
రెండు	2 (tall)
మూడు	3 (tall)
నాలుగు	4 (tall)
సున్న	Null
దీర్ఘ చతురస్రం	Rektangel
లాట్వియా	Latvia
ఉక్రెయిన్	Ukraina
చెక్ రిపబ్లిక్	Tsjekkia
స్లోవేనియా	Slovenia
మోల్డోవా	Moldova
రొమేనియా	Romania
బల్గేరియా	Bulgaria
రోమ్	Roma
మేసిడోనియా	Republikken Makedonia
అల్బేనియా	Albania
గ్రీన్‌లాండ్	Grønland
క్రొయేషియా	Kroatia
బోస్నియా మరియు హెర్జెగొవీనా	Bosnia-Hercegovina
అజర్‌బైజాన్	Aserbajdsjan
అండొర్రా	Andorra
సైప్రస్	Republikken Kypros
జార్జియా (దేశం)	Georgia
కజకస్తాన్	Kasakhstan
మొనాకో	Monaco
వాటికన్ నగరం	Vatikanstaten
క్యూబా	Cuba
బెలిజ్	Belize
ఈఫిల్ టవర్	Eiffeltårnet
బార్బడోస్	Barbados
రాసబెర్రి పై	Raspberry Pi
వోక్స్ వాగన్	Volkswagen
ఇంటెల్ సంస్థ	Intel
కంప్యూటర్ కీబోర్డ్	Tastatur
జావా	Java (programmeringsspråk)
ఇండోనేషియా	Indonesia
మేండెల్‌బ్రాట్ సెట్	Mandelbrotmengden
దక్షిణ ఆఫ్రికా	Sør-Afrika
అల్జీరియా	Algerie
ఉజ్బెకిస్తాన్	Usbekistan
డ్రోసిరా	Soldoggslekta
తాష్కెంట్	Tasjkent
నీరు	Vann
చెక్క	Treverk
టెలివిజన్	Fjernsyn
లింగ భేదం	Kjønn
చిలీ	Chile
యేసు	Jesus Kristus
గెలీలియో గెలీలి	Galileo Galilei
బుధుడు	Merkur
చరిత్ర	Historie
యాపిల్ ఇన్‌కార్పొరేషన్	Apple
శుక్రుడు	Venus
భాష	Språk
ప్రేమ	Kjærlighet
నియంతృత్వం	Diktatur
గేలక్సీ	Galakse
గురుడు	Jupiter
మిచెల్లీ బచెలేట్	Michelle Bachelet
పాలపుంత	Melkeveien
మహా విస్ఫోటం	Big Bang
యురేనస్	Uranus
ఆంగ్ల వికీపీడియా	Wikipedia på engelsk
నెప్ట్యూన్	Neptun (planet)
ఖగోళ శాస్త్రము	Astronomi
సింగపూరు	Singapore
విజ్ఞానశాస్త్రం	Vitenskap
ప్లూటో	Pluto
మాంట్రియల్	Montréal
కాలము	Fremtid
మరియమ్	Jomfru Maria
ఆటలు	Sport
ఎడాల్ఫ్ హిట్లర్	Adolf Hitler
ఫేస్‌బుక్	Facebook
గూగుల్+	Google+
వికీలీక్స్	WikiLeaks
జూలియన్ అసాంజే	Julian Assange
మొదటి ప్రపంచ యుద్ధం	Første verdenskrig
రెండవ ప్రపంచ యుద్ధం	Andre verdenskrig
కొలోన్	Köln
లంచం	Korrupsjon
వికీబుక్స్	Wikibøker
వికీకోట్	Wikiquote
ఉబుంటు	Ubuntu (operativsystem)
బాబ్ డైలాన్	Bob Dylan
గణితము	Matematikk
లాటిన్	Latin
బహ్రయిన్	Bahrain
ఆర్మేనియా	Armenia
జెన్నా జేమ్సన్	Jenna Jameson
సెర్బియా	Serbia
చంద్రుడు	Månen
ఇస్తాంబుల్	Istanbul
ఆస్ట్రేలియా	Australia
కార్ల్ సాగాన్	Carl Sagan
భౌతిక శాస్త్రము	Fysikk
అర్జెంటీనా	Argentina
పెరూ	Peru
జీవ శాస్త్రము	Biologi
గుర్తించబడని ఎగురుతున్న వస్తువు	Uidentifisert flygende objekt
ఉత్తర కొరియా	Nord-Korea
కంబోడియా	Kambodsja
క్యూపర్ బెల్ట్	Kuiperbeltet
ఖోరాన్	Koranen
రాక్షసబల్లి	Dinosaurer
జంతుశాస్త్రం	Zoologi
ఇస్లాం మతం	Islam
వృక్షశాస్త్రం	Botanikk
లెక్ వలీసా	Lech Wałęsa
చక్రం	Hjul
శాంతి	Fred
బ్రిటానికా విజ్ఞాన సర్వస్వము	Encyclopædia Britannica
ఐరోపా సమాఖ్య	Den europeiske union
వరల్డ్ వైడ్ వెబ్	World Wide Web
స్త్రీ	Kvinne
కవి	Poesi
కంప్యూటర్ వైరస్	Datavirus
నవ్వు	Smil
హిరోషిమా మరియు నాగసాకిలపై అణ్వస్త్ర దాడులు	Atombombene over Hiroshima og Nagasaki
మిలన్	Milano
మిత్రుడు	Vennskap
మలము	Avføring
గుదము	Anus
నిమ్మ	Sitron
అరటి	Bananer
పుష్పము	Blomst
గూగోల్	Googol
ఎవరెస్టు పర్వతం	Mount Everest
శరీర నిర్మాణ శాస్త్రము	Anatomi
నగరము	By
నెపోలియన్	Napoléon Bonaparte
శరీరశాస్త్రం	Fysiologi
నక్షత్రము (ఖగోళశాస్త్రం)	Stjerne
సూర్యుడు	Solen
లూయీ పాశ్చర్	Louis Pasteur
కాంతి సంవత్సరం	Lysår
గ్రామం	Landsby
విక్టర్ హ్యూగో	Victor Hugo
ఓషియానియా	Oseania
గిసేప్పి గారిబాల్డి	Giuseppe Garibaldi
సౌరమండలము	Solsystemet
హైడ్రోజన్	Hydrogen
హీలియం	Helium
నరకం	Helvete
వికీపీడియా:వికీమీడియా కామన్స్	Wikimedia Commons
లిథియం	Litium
బెరీలియం	Beryllium
పుస్తకము	Bok
తూర్పు తైమూర్	Øst-Timor
రాత్రి	Natt
సంవత్సరము	År
కృష్ణబిలం	Sort hull
సెరిస్ (మరుగుజ్జు గ్రహం)	Ceres (dvergplanet)
లిస్బన్	Lisboa
ఎరిస్ (మరుగుజ్జు గ్రహం)	Eris (dvergplanet)
దుబాయ్	Dubai
బోరాన్	Bor (grunnstoff)
నికోలాస్ కోపర్నికస్	Nikolaus Kopernikus
కార్బన్	Karbon
నత్రజని	Nitrogen
ఆక్సిజన్	Oksygen
ఫుట్‌బాల్ క్లబ్ ఇంటర్నేజనలే మిలనో	Inter
గ్రహం	Planet
క్లియోపాత్రా	Kleopatra VII av Egypt
భారతీయ సంగీతము	Musikk
వెనిస్	Venezia
ఉష్ణమాపకం	Termometer
మాస్కో	Moskva
ఫ్లోరిన్	Fluor
చువావా (కుక్క)	Chihuahua (hund)
నియాన్	Neon
సెయింట్ పీటర్స్‌బర్గ్	St. Petersburg
చాద్	Tsjad
సోడియం	Natrium
ఉత్తరం	Nord
మెగ్నీషియం	Magnesium
అల్యూమినియం	Aluminium
న్యూజీలాండ్	New Zealand
దక్షిణం	Sør
భారత దేశము	India
సిలికాన్	Silisium
భాస్వరము	Fosfor
ఇనుము	Jern
పడమర	Vest
అలెస్సాండ్రో వోల్టా	Alessandro Volta
సల్ఫర్	Svovel
సమోవా	Samoa
తూర్పు	Øst
సోలమన్ దీవులు	Salomonøyene
వనాటు	Vanuatu
క్లోరిన్	Klor
విలియం షేక్‌స్పియర్	William Shakespeare
ఫైర్‌ఫాక్స్	Mozilla Firefox
పొటాషియం	Kalium
కాల్షియమ్	Kalsium
సీసము (మూలకము)	Bly
కిరిబటి	Kiribati
మంగోలియా	Mongolia
ఫిజీ	Fiji
స్కాండియం	Scandium
టైటానియం	Titan (grunnstoff)
వెనుజులా	Venezuela
చదరంగం (ఆట)	Sjakk
చెంఘీజ్ ఖాన్	Djengis Khan
వెనేడియం	Vanadium
మెయిన్	Maine
క్రోమియం	Krom
గుర్రము	Hest
ఆయుధం	Våpen
జంతువు	Dyr
సురినామ్	Surinam
మాంగనీస్	Mangan
గయానా	Guyana
ఈక్వడార్	Ecuador
కొలంబియా	Colombia
కోబాల్ట్	Kobolt
నికెల్	Nikkel
బౌద్ధ మతము	Buddhisme
బొలీవియా	Bolivia
ఓస్మియం	Osmium
రాగి	Kobber
ట్రినిడాడ్ మరియు టొబాగో	Trinidad og Tobago
మొక్క	Planter
తుత్తునాగము	Sink
న్యూహాంప్‌షైర్	New Hampshire
లియొనార్డో డావిన్సి	Leonardo da Vinci
శిలీంధ్రం	Sopper
జమైకా	Jamaica
మసాచూసెట్స్	Massachusetts
గూగుల్ క్రోమ్	Google Chrome
బహామాస్	Bahamas
కనెక్టికట్	Connecticut
కోడి	Tamhøns
ఆంటిగ్వా మరియు బార్బుడా	Antigua og Barbuda
హవాయి	Hawaii
హోండురాస్	Honduras
జెర్సీ	Jersey
డొమెనికన్ రిపబ్లిక్	Den dominikanske republikk
పంది	Gris
ఆర్క్‌టిక్ మహాసముద్రం	Nordishavet
ఇరాన్	Iran
మూగతనం	Dumhet
ఇరాక్	Irak
అలాస్కా	Alaska
వివేకం	Visdom
కోస్టారీకా	Costa Rica
ఇజ్రాయిల్	Israel
పనామా	Panama
యెమన్	Jemen
వైరస్	Virus
జోర్డాన్	Jordan
ఫ్లోరిడా	Florida
కిర్గిజిస్తాన్	Kirgisistan
ఆరిజోనా	Arizona
కువైట్	Kuwait
లావోస్	Laos
లెబనాన్	Libanon
ఓరెగాన్	Oregon
మాల్దీవులు	Maldivene
యూటా	Utah
పశువు	Storfe
మలేషియా	Malaysia
మయన్మార్	Myanmar
నేపాల్	Nepal
ఒమన్	Oman
పాకిస్తాన్	Pakistan
‌జేమ్స్ బాండ్	James Bond
కతర్	Qatar
టెన్నిస్	Tennis
సౌదీ అరేబియా	Saudi-Arabia
శ్రీలంక	Sri Lanka
స్టాలిన్	Josef Stalin
బార్‌కోడ్	Strekkode
సిరియా	Syria
ప్లేటో	Platon
గాలియం	Gallium
