Afrihkká	Afrika
Jáhpan	Japan
Lulli-Amerihkká	Sør-Amerika
Norga	Norge
Englánda	England
Irlánda	Irland
Ungára	Ungarn
Spánia	Spania
Amerihká ovttastuvvan stáhtat	USA
Belgia	Belgia
Luxemburg	Luxembourg
Eana	Jorden
Olmmoš	Menneske
Suopma	Finland
Ruoŧŧa	Sverige
Dánmárku	Danmark
Polska	Polen
Lietuva	Litauen
Itália	Italia
Šveica	Sveits
Nuortariika	Østerrike
Greika	Hellas
Durka	Tyrkia
Portugal	Portugal
Eurohpá	Europa
Ásia	Asia
Davvi-Amerihkká	Nord-Amerika
Antárktis	Antarktika
Wikipedia	Wikipedia
Vuolleeatnamat	Nederland
Washington D.C.	Washington, D.C.
Berlin	Berlin
Los Angeles	Los Angeles
Bern	Bern
Barack Obama	Barack Obama
Uruguay	Uruguay
London	London
Kairo	Kairo
Paris	Paris
Meksiko	Mexico
Atlánta	Atlanterhavet
Jaskesáhpi	Stillehavet
Kalifornia	California
Vuossárga	Mandag
Ođđajagimánnu	Januar
Guovvamánnu	Februar
Njukčamánnu	Mars (måned)
Mars	Mars (planet)
Kenia	Kenya
Etiopia	Etiopia
Ghana	Ghana
Cuoŋománnu	April
Miessemánnu	Mai
Geassemánnu	Juni
Suoidnemánnu	Juli
Borgemánnu	August
Čakčamánnu	September
Golggotmánnu	Oktober
Skábmamánnu	November
Juovlamánnu	Desember
Maŋŋebárga	Tirsdag
Gaskavahkku	Onsdag
Duorastat	Torsdag
Bearjadat	Fredag
Lávvardat	Lørdag
Sotnabeaivi	Søndag
Ledjon	Løve
Frankriika	Frankrike
Esperantogiella	Esperanto
Ovttastuvvan gonagasriika	Storbritannia
Bussá	Tamkatt
Kiinná	Folkerepublikken Kina
Fránskkagiella	Fransk
Brasilia	Brasil
François Hollande	François Hollande
Ruošša	Russland
Hvaler	Hvaler
Kvadráhta	Kvadrat
Π	Pi (bokstav)
Toronto	Toronto
Alabama	Alabama
São Paulo	São Paulo
Duiska	Tyskland
Vilges-Ruošša	Hviterussland
Duiskkagiella	Tysk
Islánda	Island
Estteeana	Estland
Saturn	Saturn
Agálašvuohta	Uendelig
George W. Bush	George W. Bush
Rektáŋgel	Rektangel
Látvia	Latvia
Ukraina	Ukraina
Čeahkka	Tsjekkia
Slovakia	Slovakia
Slovenia	Slovenia
Vilnius	Vilnius
Moldova	Moldova
Románia	Romania
Bulgária	Bulgaria
Roma	Roma
Makedonia	Republikken Makedonia
Albánia	Albania
Kalaallit Nunaat	Grønland
Kroatia	Kroatia
Bosnia ja Hercegovina	Bosnia-Hercegovina
Nuuk	Nuuk
Aserbaižan	Aserbajdsjan
Andorra	Andorra
Kypros	Republikken Kypros
Georgia	Georgia
Kasakstan	Kasakhstan
Malta	Malta
Monaco	Monaco
Montenegro	Montenegro
Vatikána	Vatikanstaten
San Marino	San Marino
Bryssel	Brussel
Cuba	Cuba
Belize	Belize
Eiffel-toardna	Eiffeltårnet
Barbados	Barbados
Boallobeavdi	Tastatur
Indonesia	Indonesia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Durkkagiella	Tyrkisk
Lulli-Afrihkká	Sør-Afrika
Algeria	Algerie
Usbekistan	Usbekistan
Čurolastašattut	Soldoggslekta
Warszawa	Warszawa
Eurovision lávllagilvvohallan	Eurovision Song Contest
Čáhci	Vann
Islánddagiella	Islandsk
Chile	Chile
Jesus	Jesus Kristus
Merkur	Merkur
Apple Inc.	Apple
Venus	Venus
Giella	Språk
Jupiter	Jupiter
Álgobávkkeheapmi	Big Bang
Uranus	Uranus
Bretagne	Bretagne (historisk region)
Neptun	Neptun (planet)
Singapore	Singapore
Liechtenstein	Liechtenstein
Nubbi máilmmisoahti	Andre verdenskrig
Augusto Pinochet	Augusto Pinochet
Skopje	Skopje
Bob Dylan	Bob Dylan
Láhtengiella	Latin
Bahrain	Bahrain
Armenia	Armenia
Higgsa boson	Higgs-boson
Serbia	Serbia
Mánnu	Månen
Istanbul	Istanbul
Australia	Australia
Argentiinná	Argentina
Peru	Peru
Davvi-Korea	Nord-Korea
Cambodja	Kambodsja
Isláma	Islam
Ljubljana	Ljubljana
Lech Wałęsa	Lech Wałęsa
Eurohpá uniovdna	Den europeiske union
Rhône-Alpes	Rhône-Alpes
Sofia	Sofia
666	666
Mount Everest	Mount Everest
Beaivváš	Solen
Oseania	Oseania
Beaivvášgoddi	Solsystemet
Angela Merkel	Angela Merkel
Jándor	Dag
Nuorta-Timor	Øst-Timor
Jahki	År
Jahkečuohti	Århundre
Oslo	Oslo
Katowice	Katowice
Lisboa	Lisboa
Dubai	Dubai
Planehta	Planet
Moskva	Moskva
