Aprika	Afrika
Hapon	Japan
Timog Amerika	Sør-Amerika
Noruwega	Norge
Inglatera	England
Scotland	Skottland
Wales	Wales
Kahilagaang Irlanda	Nord-Irland
Irlanda (bansa)	Irland
Unggarya	Ungarn
Espanya	Spania
Estados Unidos	USA
Belhika	Belgia
Luxembourg	Luxembourg
Sansinukob	Universet
Daigdig	Jorden
Buhay	Liv
Kamatayan	Død
Tao	Menneske
George Washington	George Washington
Tim Berners-Lee	Tim Berners-Lee
Bilang ng Halimaw	Dyrets tall
Stanley Kubrick	Stanley Kubrick
Finland	Finland
Sweden	Sverige
Dinamarka	Danmark
Poland	Polen
Lithuania	Litauen
Italya	Italia
Suwisa	Sveits
Austria	Østerrike
Gresya	Hellas
Turkiya	Tyrkia
Serbesa	Øl
Portugal	Portugal
Europa	Europa
Asya	Asia
Hilagang Amerika	Nord-Amerika
Antartiko	Antarktika
Wikipedia	Wikipedia
Netherlands	Nederland
Titi	Penis
PHP	PHP
Lungsod ng New York	New York
Washington, D.C.	Washington, D.C.
San Francisco, California	San Francisco
Berlin	Berlin
Los Angeles, California	Los Angeles
Kompyuter	Datamaskin
Berna	Bern
Hinebra	Genève
Zürich	Zürich
Internet	Internett
Barack Obama	Barack Obama
Uruguay	Uruguay
Londres	London
Cairo	Kairo
Alehandriya	Alexandria
Alexandria, Virginia	Alexandria (Virginia)
Mansanas	Epleslekten
Paris	Paris
Abraham Lincoln	Abraham Lincoln
Android	Android
Google	Google
Mehiko	Mexico
Karagatang Atlantiko	Atlanterhavet
Karagatang Pasipiko	Stillehavet
California	California
Boston, Massachusetts	Boston
Pneumonoultramicroscopicsilicovolcanoconiosis	Pneumonoultramicroscopicsilicovolcanoconiosis
Lunes	Mandag
Enero	Januar
Pebrero	Februar
Marso	Mars (måned)
Marte	Mars (planet)
Marte (mitolohiya)	Mars (gud)
Kenya	Kenya
Ethiopia	Etiopia
Ghana	Ghana
Abril	April
Mayo	Mai
Hunyo	Juni
Hulyo	Juli
Agosto	August
Setyembre	September
Oktubre	Oktober
Nobyembre	November
Disyembre	Desember
Martes	Tirsdag
Miyerkules	Onsdag
Huwebes	Torsdag
Biyernes	Fredag
Sabado	Lørdag
Linggo (araw)	Søndag
Leon	Løve
Pransiya	Frankrike
Esperanto	Esperanto
Aso	Tamhund
United Kingdom	Storbritannia
Pusa	Tamkatt
Tsina	Folkerepublikken Kina
Nyan Cat	Nyan Cat
Wikang Pranses	Fransk
Wiktionary	Wiktionary
Isda	Fisk
Inuming alkohol	Alkoholholdig drikke
Brazil	Brasil
Alkohol	Alkoholer
François Hollande	François Hollande
Rusya	Russland
Cetacea	Hvaler
Parisukat	Kvadrat
Dagat	Hav
Dagat Itim	Svartehavet
Pi	Pi
Wiki	Wiki
Toronto	Toronto
Alabama	Alabama
São Paulo	São Paulo
Québec	Québec
Pasta	Pasta
Boeing 747	Boeing 747
Pundasyong Wikimedia	Wikimedia Foundation
Jimmy Wales	Jimmy Wales
Alemanya	Tyskland
Belarus	Hviterussland
Wikang Aleman	Tysk
Iceland	Island
Diyos	Gud
Estonia	Estland
David Cameron	David Cameron
Saturno (planeta)	Saturn
Tsokolate	Sjokolade
Eroplano	Fly
Digmaan	Krig
1 (bilang)	1 (tall)
2 (bilang)	2 (tall)
3 (bilang)	3 (tall)
4 (bilang)	4 (tall)
5 (bilang)	5 (tall)
0 (bilang)	Null
Kawalang hangganan	Uendelig
Stephen Harper	Stephen Harper
George W. Bush	George W. Bush
Parihaba	Rektangel
