Afrik	Afrika
Japon	Japan
Amerik disid	Sør-Amerika
Nòvèj	Norge
Angletè	England
Ekòs	Skottland
Gal	Wales
Ilann dinò	Nord-Irland
Ilann	Irland
Ongri	Ungarn
Espay	Spania
Etazini	USA
Bèljik	Belgia
Liksanbou (peyi)	Luxembourg
Linivè	Universet
Latè	Jorden
Lavi	Liv
Lanmò	Død
Homo sapiens	Menneske
George Washington	George Washington
Fenlann	Finland
Syèd	Sverige
Danmak	Danmark
Polòy	Polen
Lityani	Litauen
Itali	Italia
Swis	Sveits
Otrich	Østerrike
Grès	Hellas
Tiki	Tyrkia
Byè	Øl
Pòtigal	Portugal
Ewòp	Europa
Azi	Asia
Amerik dinò	Nord-Amerika
Antatik (kontinan)	Antarktika
Wikipedya	Wikipedia
Peyiba	Nederland
Nouyòk	New York
Wachintòn	Washington, D.C.
San Francisco, Kalifòni	San Francisco
Bèlen	Berlin
Los Angeles, Kalifòni	Los Angeles
Òdinatè	Datamaskin
Bèn	Bern
Zirik	Zürich
Entènet	Internett
Barack Obama	Barack Obama
Irigwe	Uruguay
Lonn	London
Li Kè	Kairo
Alexandria, Vijini	Alexandria (Virginia)
Pòm	Epleslekten
Pari	Paris
Abraham Lincoln	Abraham Lincoln
Google	Google
Meksik	Mexico
Atlantik	Atlanterhavet
Pasifik	Stillehavet
Kalifòni	California
Boston, Massachusetts	Boston
Lendi	Mandag
Janvye	Januar
Fevriye	Februar
Mas (mwa)	Mars (måned)
Mas (planèt)	Mars (planet)
Kenya	Kenya
Etyopi	Etiopia
Gana	Ghana
Avril	April
Me	Mai
Jen	Juni
Jiyè	Juli
Out	August
Septanm	September
Oktòb	Oktober
Novanm	November
Desanm	Desember
Madi	Tirsdag
Mèkredi	Onsdag
Jedi	Torsdag
Vandredi	Fredag
Samdi	Lørdag
Dimanch	Søndag
Lyon	Løve
Frans	Frankrike
Chen	Tamhund
Wayòm Ini	Storbritannia
Chat	Tamkatt
Lang franse	Fransk
Pwason	Fisk
Brezil	Brasil
Alkòl	Alkoholer
Risi	Russland
Balèn	Hvaler
Kare	Kvadrat
Lanmè	Hav
Pi (matematik)	Pi
Π	Pi (bokstav)
Alabama	Alabama
São Paolo	São Paulo
Kebèk	Québec
Almay	Tyskland
Byelorisi	Hviterussland
Alman	Tysk
Islann	Island
Bondye	Gud
Estoni	Estland
Satin	Saturn
Avyon	Fly
Lagè	Krig
1 (nonm)	1 (tall)
2 (nonm)	2 (tall)
3 (nonm)	3 (tall)
4 (nonm)	4 (tall)
5 (nonm)	5 (tall)
0 (nonm)	Null
Rektang	Rektangel
Letoni	Latvia
Ikrèn	Ukraina
Tchèki	Tsjekkia
Slovaki	Slovakia
Sloveni	Slovenia
Vilnis	Vilnius
Moldavi	Moldova
Woumani	Romania
Bilgari	Bulgaria
Ròm	Roma
Repiblik d Masedoni	Republikken Makedonia
Albani	Albania
Kroasi	Kroatia
Bosni ak Erzegovin	Bosnia-Hercegovina
Azerbaydjan	Aserbajdsjan
Andora	Andorra
Chip	Republikken Kypros
Jeoji	Georgia
Kazakstan	Kasakhstan
Malt	Malta
Monako (kapital)	Monaco
Montenegwo	Montenegro
Vatikan	Vatikanstaten
Sen Maren (peyi)	San Marino
Briksèl	Brussel
Kiba	Cuba
Beliz	Belize
Lababad	Barbados
Java	Java (programmeringsspråk)
Endonezi	Indonesia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Afrik disid (peyi)	Sør-Afrika
Aljeri	Algerie
Ouzbekistan	Usbekistan
Tachkènt	Tasjkent
Vasovi	Warszawa
Diven	Vin
Dlo	Vann
Kwi	Lær
Bwa	Treverk
Chili	Chile
Jezi	Jesus Kristus
Galileo Galilei	Galileo Galilei
Mèki (planèt)	Merkur
Istwa	Historie
Apple	Apple
Venis (planèt)	Venus
Lang (pawòl)	Språk
Galaksi	Galakse
Jipitè (planèt)	Jupiter
Teyori big-bang	Big Bang
Iranis	Uranus
Neptin (planèt)	Neptun (planet)
Astwonomi	Astronomi
Sengapou (peyi)	Singapore
Syans	Vitenskap
Pliton	Pluto
Monreyal (komin)	Montréal
Avni	Fremtid
Lichtènstayn	Liechtenstein
Espò (divètisman)	Sport
Adolf Hitler	Adolf Hitler
Ubuntu	Ubuntu (operativsystem)
Skopje	Skopje
Matematik	Matematikk
Barayn	Bahrain
Ameni	Armenia
Sèbi	Serbia
Lalin	Månen
Istanboul	Istanbul
Ostrali	Australia
Bob Marley	Bob Marley
Fizik	Fysikk
Ajantin	Argentina
Telekominikasyon	Telekommunikasjon
Pewou	Peru
Biyoloji	Biologi
Kore dinò	Nord-Korea
Kanbòdj	Kambodsja
Dinozò	Dinosaurer
Islamis	Islam
Lyoubyana	Ljubljana
Etid plant	Botanikk
Rou	Hjul
Lapè	Fred
Lyon (vil)	Lyon
Inyon Ewopeyèn	Den europeiske union
Fanm	Kvinne
Sofia	Sofia
Zanmi	Vennskap
Anis (anatomi)	Anus
Sitron	Sitron
Bannann	Bananer
666 (almanak jilyen)	666
Flè	Blomst
Vil	By
Napoléon Bonaparte	Napoléon Bonaparte
Etwal	Stjerne
Solèy	Solen
Ane-limyè	Lysår
Victor Hugo	Victor Hugo
Oseyani	Oseania
Atletis	Friidrett
Sistèm solè	Solsystemet
Idwojèn	Hydrogen
Elyòm	Helium
Lityòm	Litium
Berilyòm	Beryllium
Liv (pou li)	Bok
Jou (Tan)	Dag
Timò oryantal	Øst-Timor
Nwit	Natt
Lane	År
Syèk	Århundre
Oslo	Oslo
Twou nwa	Sort hull
Lisbòn	Lisboa
Ichiro Suzuki	Ichiro Suzuki
Kabòn	Karbon
Azòt	Nitrogen
Oksijèn	Oksygen
Planèt	Planet
Mizik	Musikk
Tèmomèt	Termometer
Moskou	Moskva
Fliyò	Fluor
Neyon	Neon
Saint-Pétersbourg	St. Petersburg
Tchad	Tsjad
Sodyòm	Natrium
Nò	Nord
Manyezyòm	Magnesium
Aliminyòm	Aluminium
Nouvèl Zelann	New Zealand
Sid	Sør
End	India
Silisyòm	Silisium
Fransyòm	Francium
Touvalou	Tuvalu
Fosfò	Fosfor
André-Marie Ampère	André-Marie Ampère
Fè	Jern
Tonga	Tonga
Lwès	Vest
Alessandro Volta	Alessandro Volta
Souf	Svovel
Samoa	Samoa
Lès	Øst
Salomon	Salomonøyene
Vanwatou	Vanuatu
Molière	Molière
Klò	Klor
Papwazi-Nouvèl-Gine	Papua Ny-Guinea
William Shakespeare	William Shakespeare
Palao	Palau
Agon	Argon
Naorou	Nauru
Mikwonezi (peyi)	Mikronesiaføderasjonen
Potasyòm	Kalium
Kalsyòm	Kalsium
Plon	Bly
Machal	Marshalløyene
Kiribès	Kiribati
Mongoli	Mongolia
Fidji	Fiji
Skandyòm	Scandium
Titàn	Titan (grunnstoff)
Venezwela	Venezuela
Echèk	Sjakk
Vanadyòm	Vanadium
Mèn	Maine
Kwòm	Krom
Cheval	Hest
Amstèdam	Amsterdam
Zam	Våpen
Zannimo	Dyr
Sirinam	Surinam
Manganèz	Mangan
Paragwe	Paraguay
Giyàn	Guyana
La (aktivite)	Kunst
Ekwatè (peyi)	Ecuador
Kolonbi	Colombia
Nikèl	Nikkel
Frèz	Jordbærslekta
Boudis	Buddhisme
Bolivi	Bolivia
Kwiv	Kobber
Trinidad ak Tobago	Trinidad og Tobago
Plant	Planter
Sen Vensan ak Grenadin	Saint Vincent og Grenadinene
Zenk	Sink
Nou Anpchi	New Hampshire
Sent Lisi	Saint Lucia
Leonardo da Vinci	Leonardo da Vinci
Sen Kits ak Nevi	Saint Kitts og Nevis
Chanpiyon	Sopper
Jamayik	Jamaica
Grenad	Grenada
Masachosèt	Massachusetts
Gwatemala	Guatemala
Google chrome	Google Chrome
Bahamas	Bahamas
Konèktikòt	Connecticut
Antigwa ak Babouda	Antigua og Barbuda
Awayi	Hawaii
Ondiras	Honduras
Dominik	Dominica
Dominikani	Den dominikanske republikk
Kochon	Gris
Aktik	Nordishavet
Ayiti	Haiti
Salvadò	El Salvador
Iran	Iran
Irak	Irak
Alaska	Alaska
Kostarika	Costa Rica
Izrayèl	Israel
Panama (peyi)	Panama
Yemèn	Jemen
Viris	Virus
Jòdani	Jordan
Nikaragwa	Nicaragua
Florid	Florida
Kirgistan	Kirgisistan
Arizona	Arizona
Kowet	Kuwait
Laos	Laos
Liban	Libanon
Oregon	Oregon
Maldiv	Maldivene
Amerik	Amerika
Youta	Utah
Malezi	Malaysia
Bimani	Myanmar
Nepal	Nepal
Omàn	Oman
Pakistan	Pakistan
Katar	Qatar
Tenis	Tennis
Arabi Sawoudit	Saudi-Arabia
Srilanka	Sri Lanka
Siri	Syria
Platon	Platon
Galyòm	Gallium
Tadjikistan	Tadsjikistan
Jèmanyòm	Germanium
Aristotle	Aristoteles
Tayilann	Thailand
Asenik	Arsen
Tirkmenistan	Turkmenistan
Selenyòm	Selen
Iridyòm	Iridium
Emira Arab Ini	De forente arabiske emirater
Bwòm	Brom
Platin	Platina
Vyetnam	Vietnam
Charlie Chaplin (aktè)	Charlie Chaplin
Kore disid	Sør-Korea
