Africa	Afrika
Xapon	Japan
Ixachitlān Huitztlāmpa	Sør-Amerika
Noruega	Norge
Inglatlālpan	England
Wales	Wales
Irtlālpan	Irland
Hungria	Ungarn
Caxtillān	Spania
Tlacetilīlli Tlahtohcāyōtl Ixachitlān	USA
Belgica	Belgia
Luxemburgo	Luxembourg
Cemānāhuac	Universet
Tlālticpactli	Jorden
Miquiztli	Død
Tlācatl	Menneske
George Washington	George Washington
Stanley Kubrick	Stanley Kubrick
Fintlālpan	Finland
Suecia	Sverige
Dinamarca	Danmark
Polonia	Polen
Lituania	Litauen
Italia	Italia
Suiza	Sveits
Austria	Østerrike
Grecia	Hellas
Turquia	Tyrkia
Portugal	Portugal
Europan	Europa
Asia	Asia
Ixachitlān Mictlāmpa	Nord-Amerika
Antartida	Antarktika
Huiquipedia	Wikipedia
Tlanitlālpan	Nederland
Tepōlli	Penis
Āltepētl Yancuīc York	New York
Washington, D.C.	Washington, D.C.
San Francisco, California	San Francisco
Berlin	Berlin
Los Ángeles	Los Angeles
Chīuhpōhualhuaztli	Datamaskin
Berna	Bern
Zurich	Zürich
Mātlatzālantli	Internett
Barack Obama	Barack Obama
Uruguay	Uruguay
Londres	London
In Cairo	Kairo
Alexandria	Alexandria
Manzana	Epleslekten
Paris	Paris
Abraham Lincoln	Abraham Lincoln
Google	Google
Mēxihco	Mexico
Ilhuicaātl Atlántico	Atlanterhavet
Tēpāpāquiltiliztli Ilhuicaātl	Stillehavet
California	California
Mētztlitōnal	Mandag
Ic cē mētztli	Januar
Ic ōme mētztli	Februar
Ic ēyi mētztli	Mars (måned)
Chīchīlcītlalli	Mars (planet)
Quenia	Kenya
Etiopia	Etiopia
Ghana	Ghana
Ic nāuhtetl mētztli	April
Ic mācuīlli mētztli	Mai
Ic chicuacen mētztli	Juni
Ic chicōme mētztli	Juli
Ic chicuēyi mētztli	August
Ic chiucnāhui mētztli	September
Ic mahtlāctetl mētztli	Oktober
Ic mahtlāctetl oncē mētztli	November
Ic mahtlāctetl omōme mētztli	Desember
Huītzilōpōchtōnal	Tirsdag
Yacatlipotōnal	Onsdag
Tezcatlipotōnal	Torsdag
Quetzalcōātōnal	Fredag
Tlāloctitōnal	Lørdag
Tōnatiuhtōnal	Søndag
Cuāmiztli	Løve
Francia	Frankrike
Esperantotlahtōlli	Esperanto
Itzcuintli	Tamhund
Tlacetilīlli Huēyitlahtohcāyōtl	Storbritannia
Miztōn	Tamkatt
China	Folkerepublikken Kina
Franciatlahtōlli	Fransk
Michin	Fisk
Octli	Alkoholholdig drikke
Brasil	Brasil
Rusia	Russland
Huēyātl	Hav
Π	Pi (bokstav)
Wiki	Wiki
Alabama	Alabama
São Paulo	São Paulo
São Paulo (tlahtohcāyōtl)	São Paulo (delstat)
Quebec	Québec
Jimmy Wales	Jimmy Wales
Alemania	Tyskland
Belarus	Hviterussland
Alemantlahtōlli	Tysk
Iztlālpan	Island
Estonia	Estland
Tzitzimicītlalli	Saturn
Xocolātl	Sjokolade
Tepoztōtōtl	Fly
Cē (tlapōhualli)	1 (tall)
Ōme	2 (tall)
Ēyi	3 (tall)
Nāhui	4 (tall)
Mācuīlli	5 (tall)
George W. Bush	George W. Bush
Letonia	Latvia
Ucrania	Ukraina
Chequia	Tsjekkia
Eslovaquia	Slovakia
Eslovenia	Slovenia
Vilnius	Vilnius
Moldova	Moldova
Rumania	Romania
Bulgaria	Bulgaria
Roma	Roma
Tlācatlahtohcāyōtl Macedonia	Republikken Makedonia
Albania	Albania
Groentlālpan	Grønland
Croacia	Kroatia
Bosnia īhuān Hertzegovina	Bosnia-Hercegovina
Nuuk	Nuuk
Azerbaiyan	Aserbajdsjan
Andorra	Andorra
Chipre	Republikken Kypros
Georgia	Georgia
Cazaquistan	Kasakhstan
Malta	Malta
Flandes	Flandern
