Áfríkà	Afrika
Japan	Japan
Gúúsù Amẹ́ríkà	Sør-Amerika
Nọ́rwèy	Norge
Ilẹ̀gẹ̀ẹ́sì	England
Skọ́tlándì	Skottland
Wélsì	Wales
Írẹ́lándì Apáàríwá	Nord-Irland
Írẹ́lándì	Irland
Húngárì	Ungarn
Spéìn	Spania
Àwọn Ìpínlẹ̀ Aṣọ̀kan Amẹ́ríkà	USA
Bẹ́ljíọ̀m	Belgia
Lúksẹ́mbọ̀rg	Luxembourg
Ayé	Jorden
Ọmọnìyàn	Menneske
George Washington	George Washington
Tim Berners-Lee	Tim Berners-Lee
Fínlándì	Finland
Swídìn	Sverige
Dẹ́nmárkì	Danmark
Pólàndì	Polen
Lituéníà	Litauen
Itálíà	Italia
Swítsàlandì	Sveits
Austríà	Østerrike
Gríìsì	Hellas
Túrkì	Tyrkia
Pọ́rtúgàl	Portugal
Europe	Europa
Ásíà	Asia
Àríwá Amẹ́ríkà	Nord-Amerika
Antárktìkà	Antarktika
Wikipedia	Wikipedia
Nẹ́dálándì	Nederland
New York	New York
Washington, D.C.	Washington, D.C.
San Francisco	San Francisco
Berlin	Berlin
Los Angeles	Los Angeles
Kọ̀mpútà	Datamaskin
Berne	Bern
Geneva	Genève
Zürich	Zürich
Internet Relay Chat	IRC
Internet	Internett
Barack Obama	Barack Obama
Urugúáì	Uruguay
MediaWiki	MediaWiki
Lọndọnu	London
Káírò	Kairo
Parisi	Paris
Abraham Lincoln	Abraham Lincoln
Google	Google
Mẹ́ksíkò	Mexico
Òkun Atlántíkì	Atlanterhavet
Òkun Pàsífíkì	Stillehavet
Kalifọ́rníà	California
Boston	Boston
Ọjọ́ Ajé	Mandag
Oṣù Kínní	Januar
Oṣù Kejì	Februar
Oṣù Kẹta	Mars (måned)
Mársì	Mars (planet)
Kẹ́nyà	Kenya
Ethiópíà	Etiopia
Ghánà	Ghana
Oṣù Kẹrin	April
Oṣù Kàrún	Mai
Oṣù Kẹfà	Juni
Oṣù Keje	Juli
Oṣù Kẹjọ	August
Oṣù Kẹ̀sán	September
Oṣù Kẹ̀wá	Oktober
Oṣù Kọkànlá	November
Oṣù Kejìlá	Desember
Ọjọ́ Ìsẹ́gun	Tirsdag
Ọjọ́rú	Onsdag
Ọjọ́bọ̀	Torsdag
Ọjọ́ Ẹtì	Fredag
Ọjọ́ Àbámẹ́ta	Lørdag
Ọjọ́ Àìkú	Søndag
Kìnìún	Løve
Fránsì	Frankrike
Èdè Esperanto	Esperanto
Ajá	Tamhund
Ilẹ̀ọba Aṣọ̀kan	Storbritannia
Ológbò	Tamkatt
Orílẹ̀-èdè Olómìnira àwọn Ará ilẹ̀ Ṣáínà	Folkerepublikken Kina
Èdè Faransé	Fransk
Brasil	Brasil
Ọtí	Alkoholer
François Hollande	François Hollande
Rọ́síà	Russland
Alọ́poméjì	Kvadrat
Òkun Dúdú	Svartehavet
Pi	Pi
Wiki	Wiki
Toronto	Toronto
Ìpínlẹ̀ Alabama	Alabama
São Paulo	São Paulo
Sao Paulo (ìpínlẹ̀)	São Paulo (delstat)
Wikimedia	Wikimedia Foundation
Jẹ́mánì	Tyskland
Bẹ̀lárùs	Hviterussland
Il Canto degli Italiani	Fratelli d'Italia
Èdè Jẹ́mánì	Tysk
Íslándì	Island
Ọlọ́run	Gud
Estóníà	Estland
David Cameron	David Cameron
Sátúrnù	Saturn
Ọkọ̀ òfurufú	Fly
Ogun	Krig
1 (nọ́mbà)	1 (tall)
2 (nọ́mbà)	2 (tall)
3 (nọ́mbà)	3 (tall)
4 (nọ́mbà)	4 (tall)
5 (nọ́mbà)	5 (tall)
0 (nọ́mbà)	Null
Stephen Harper	Stephen Harper
George Walker Bush	George W. Bush
Látfíà	Latvia
Ukréìn	Ukraina
Tsẹ́kì Olómìnira	Tsjekkia
Slofákíà	Slovakia
Sloféníà	Slovenia
Filnius	Vilnius
Móldófà	Moldova
Románíà	Romania
Bùlgáríà	Bulgaria
Rómù	Roma
Orílẹ̀-èdè Olómìnira ilẹ̀ Makẹdóníà	Republikken Makedonia
Albáníà	Albania
