Africa	Afrika
Iaponia	Japan
America Australis	Sør-Amerika
Norvegia	Norge
Anglia	England
Scotia	Skottland
Cambria	Wales
Hibernia Septentrionalis	Nord-Irland
Hibernia (res publica)	Irland
Hungaria	Ungarn
Hispania	Spania
Civitates Foederatae Americae	USA
Belgica	Belgia
Luxemburgum	Luxembourg
Universum	Universet
Tellus (planeta)	Jorden
Vita	Liv
Mors	Død
Homo sapiens	Menneske
Felicitas	Lykke
Georgius Washingtonius	George Washington
Duglassius Adams	Douglas Adams
Timotheus Ioannes Berners-Lee	Tim Berners-Lee
Sescenti sexaginta sex	Dyrets tall
Imagine (carmen)	Imagine (sang)
Stanley Kubrick	Stanley Kubrick
Calendarium Mayense	Mayakalender
Finnia	Finland
Suecia	Sverige
Dania	Danmark
Polonia	Polen
Lituania	Litauen
Italia	Italia
Helvetia	Sveits
Austria	Østerrike
Graecia	Hellas
Turcia	Tyrkia
Cervesia	Øl
Portugallia	Portugal
Europa	Europa
Asia	Asia
America Septentrionalis	Nord-Amerika
Antarctica	Antarktika
Vicipaedia	Wikipedia
All your base are belong to us	All your base are belong to us
Nederlandia	Nederland
Lolcat	Lolcat
Penis	Penis
PHP	PHP
Novum Eboracum (urbs)	New York
Vasingtonia (D.C.)	Washington, D.C.
Franciscopolis (California)	San Francisco
Berolinum	Berlin
Angelopolis	Los Angeles
Airbus	Airbus
Computatrum	Datamaskin
Berna (urbs)	Bern
Genava	Genève
Turicum (urbs)	Zürich
Interrete	Internett
Baracus Obama	Barack Obama
Uraquaria	Uruguay
Basilea	Basel
Typographum	Skriver
MediaVici	MediaWiki
Londinium	London
Cairus	Kairo
Capitis dolor	Hodepine
Alexandria	Alexandria
Malum	Epleslekten
Lutetia	Paris
Abrahamus Lincoln	Abraham Lincoln
Google	Google
Mexicum	Mexico
Oceanus Atlanticus	Atlanterhavet
Oceanus Pacificus	Stillehavet
California	California
Bostonia	Boston
Dies lunae	Mandag
Spatium	Rom (fysikk)
Ianuarius	Januar
Februarius	Februar
Martius	Mars (måned)
Mars (planeta)	Mars (planet)
Mars (deus)	Mars (gud)
Kenia	Kenya
Aethiopia	Etiopia
Gana	Ghana
Aprilis	April
Maius	Mai
Iunius	Juni
Iulius	Juli
Sextilis	August
September	September
October	Oktober
November	November
December	Desember
Dies Martis	Tirsdag
Dies Mercurii	Onsdag
Dies Iovis	Torsdag
Dies Veneris	Fredag
Dies Saturni	Lørdag
Dies solis	Søndag
Episcopus (scacci)	Løper (sjakk)
Pedes (scacci)	Bonde (sjakk)
Equus (scacci)	Springer (sjakk)
Turris (scacci)	Tårn (sjakk)
Rex (scacci)	Konge (sjakk)
Regina (scacci)	Dronning (sjakk)
Leo	Løve
Francia	Frankrike
Lingua Esperantica	Esperanto
Canis	Tamhund
Britanniarum Regnum	Storbritannia
Feles	Tamkatt
Res publica popularis Sinarum	Folkerepublikken Kina
Lingua Francogallica	Fransk
Victionarium	Wiktionary
Piscis	Fisk
Ethanol	Etanol
Brasilia	Brasil
Alcohol	Alkoholer
Franciscus Hollande	François Hollande
Russia	Russland
Cetacea	Hvaler
Fibra optica	Fiberoptikk
Isuria	Yorkshire
Quadrum	Kvadrat
Mare	Hav
Pontus Euxinus	Svartehavet
Numerus pi	Pi
Pi (littera Graeca)	Pi (bokstav)
Vici	Wiki
Torontum	Toronto
Alabama	Alabama
Paulopolis	São Paulo
Sanctus Paulus (provincia)	São Paulo (delstat)
Quebecum	Québec
Placenta Neapolitana	Pizza
Pasta	Pasta
Vicimedia	Wikimedia Foundation
Iacobus Wales	Jimmy Wales
Germania	Tyskland
Ruthenia Alba	Hviterussland
Laurentius Sanger	Larry Sanger
Hymnus Mameli	Fratelli d'Italia
Lingua Theodisca	Tysk
Islandia	Island
Deus	Gud
Estonia	Estland
David Cameron	David Cameron
Saturnus (planeta)	Saturn
Socolata	Sjokolade
Aëroplanum	Fly
Bellum	Krig
Unus	1 (tall)
Duo	2 (tall)
Tres	3 (tall)
Quattuor	4 (tall)
Quinque	5 (tall)
0	Null
Infinitas	Uendelig
Stephanus Harper	Stephen Harper
Georgius W. Bush	George W. Bush
Rectangulum	Rektangel
Lettonia	Latvia
Ucraina	Ukraina
Cechia	Tsjekkia
Slovacia	Slovakia
Slovenia	Slovenia
Vilna	Vilnius
Res publica Moldavica	Moldova
Romania	Romania
Bulgaria	Bulgaria
Roma	Roma
Res publica Macedonica	Republikken Makedonia
Albania	Albania
Groenlandia	Grønland
Croatia	Kroatia
Bosnia et Herzegovina	Bosnia-Hercegovina
Nuuk	Nuuk
Atropatene (res publica)	Aserbajdsjan
Andorra	Andorra
Cyprus	Republikken Kypros
Georgia	Georgia
Wallonia	Vallonia
Kazachstania	Kasakhstan
Melita (res publica)	Malta
Flandria	Flandern
Principatus Monoeci	Monaco
Mons Niger	Montenegro
Civitas Vaticana	Vatikanstaten
Res publica Sancti Marini	San Marino
Regio Bruxellana	Brussel
Cuba	Cuba
Beliza	Belize
Turris Eiffelia	Eiffeltårnet
Barbata	Barbados
Volkswagen	Volkswagen
Claviatura	Tastatur
Java (lingua programmandi)	Java (programmeringsspråk)
Indonesia	Indonesia
Wolfgangus Amadeus Mozart	Wolfgang Amadeus Mozart
Ludovicus van Beethoven	Ludwig van Beethoven
Lingua Turcica	Tyrkisk
Africa Australis	Sør-Afrika
Ioannes Franciscus Champollio	Jean-François Champollion
Linkin Park	Linkin Park
Algerium	Algerie
Vicifons	Wikikilden
Huracanum Sandy	Orkanen Sandy
Uzbecia	Usbekistan
Posnania	Poznań
Lithopolis (Uzbecia)	Tasjkent
Varsovia	Warszawa
Ila insula	Islay
Cantus Eurovisionis Certamen	Eurovision Song Contest
Mutina	Modena
Vischium	Whisky
Vinum	Vin
Aqua	Vann
Condate (Carantonus)	Cognac (Charente)
Lignum	Treverk
Turones	Tours
Televisio	Fjernsyn
Sexus	Kjønn
Pornographia	Pornografi
Lingua Islandica	Islandsk
Claudius Monet	Claude Monet
Didacus Velázquez	Diego Velázquez
Chilia	Chile
El Greco	El Greco
Iesus	Jesus Kristus
Elvis Presley	Elvis Presley
Sebastianus Piñera	Sebastián Piñera
Galilaeus Galilaei	Galileo Galilei
Mercurius (planeta)	Merkur
Historia	Historie
Coemeterium Père Lachaise	Père Lachaise
Apple Inc.	Apple
Venus (planeta)	Venus
Lingua	Språk
Amor	Kjærlighet
Dictatura	Diktatur
Galaxias	Galakse
Iuppiter (planeta)	Jupiter
Michaela Bachelet	Michelle Bachelet
Via lactea	Melkeveien
Immanis diruptio	Big Bang
Uranus (planeta)	Uranus
Eduardus Frei Ruiz-Tagle	Eduardo Frei Ruiz-Tagle
Britannia Minor	Bretagne (historisk region)
Vicipaedia Anglica	Wikipedia på engelsk
Nicolaus Sarkozy	Nicolas Sarkozy
Ricardus Lagos	Ricardo Lagos
Neptunus (planeta)	Neptun (planet)
Astronomia	Astronomi
Singapura	Singapore
Patricius Aylwin	Patricio Aylwin
Scientia (ratio)	Vitenskap
Cosmologia	Kosmologi
Pluto (planetula)	Pluto
Mons Regius	Montréal
Libera programmatura	Fri programvare
Coriosopitum	Quimper
Flexia	La Flèche
Tempus futurum	Fremtid
Maria (mater Iesu)	Jomfru Maria
Ludovicus IX (rex Francorum)	Ludvig IX av Frankrike
Lichtenstenum	Liechtenstein
Ars athletica	Sport
Cantabrigia	Cambridge
Adolphus Hitler	Adolf Hitler
Facebook	Facebook
Wikileaks	WikiLeaks
Iulianus Assange	Julian Assange
Primum bellum mundanum	Første verdenskrig
Secundum bellum mundanum	Andre verdenskrig
Colonia Agrippina	Köln
Corruptio	Korrupsjon
Vicilibri	Wikibøker
Augustus Pinochet	Augusto Pinochet
Vicicitatio	Wikiquote
Vodca	Vodka
Horologium	Klokke (ur)
Ubuntu (systema internum)	Ubuntu (operativsystem)
Scupi	Skopje
Civitas Gdinensis	Gdynia
Robertus Dylan	Bob Dylan
Stettinum	Szczecin
Mathematica	Matematikk
U2	U2
Lingua Latina	Latin
Baharina	Bahrain
Armenia	Armenia
Wenevera Jameson	Jenna Jameson
Scriptura cuneiformis	Kileskrift
Serbia	Serbia
Luna	Månen
Constantinopolis	Istanbul
Australia	Australia
Robertus Marley	Bob Marley
Carolus Sagan	Carl Sagan
Nomisma Quadrangulum a Pioneer	Pioneerplatene
Physica	Fysikk
Argentina	Argentina
Silbus Gomerensis	Silbo gomero
Telecommunicatio	Telekommunikasjon
Peruvia	Peru
Biologia	Biologi
Res volans ignota	Uidentifisert flygende objekt
Respublica Popularis Democratica Coreana	Nord-Korea
Cambosia	Kambodsja
Iura animalium	Dyrerettigheter
Zona Kuiperi	Kuiperbeltet
Alcoranus	Koranen
Dinosauria	Dinosaurer
Zoologia	Zoologi
Religio Islamica	Islam
Bibliotheca Alexandrina	Biblioteket i Alexandria
Aemona	Ljubljana
Salvator Allende	Salvador Allende
Botanice	Botanikk
Naturalis historia (Plinius)	Naturalis Historia
Ich bin ein Berliner	Ich bin ein Berliner
Lechus Wałęsa	Lech Wałęsa
Rota	Hjul
Encyclopédie	Encyclopédie
Dionysius Diderotus	Denis Diderot
Georgius Brassens	Georges Brassens
Mens	Sinn
Pax	Fred
Encyclopaedia Britannica	Encyclopædia Britannica
Lugdunum	Lyon
Pinciacum	Poissy
Unio Europaea	Den europeiske union
Philippopolis	Plovdiv
Internet Archive	Internet Archive
Star Wars	Star Wars
Rhodanus et Alpes	Rhône-Alpes
Tela totius terrae	World Wide Web
Mulier	Kvinne
Memex	Memex
Serdica	Sofia
Aquae ductus	Akvedukt
Eduardus Frei Montalva	Eduardo Frei Montalva
Ñ	Ñ
Dominus Quixotus a Manica	Don Quijote
Poësis	Poesi
Virus informaticum	Datavirus
Mediolanum	Milano
Memoria	Hukommelse
Arthurus Rimbaud	Arthur Rimbaud
Augusta Taurinorum	Torino
Faeces	Avføring
Anus (anatomia)	Anus
Limon	Sitron
Carolus Baudelaire	Charles Baudelaire
Stendhal	Stendhal
Musa (fructus)	Bananer
Aemilius Zola	Émile Zola
666	666
Flos	Blomst
Googol	Googol
Googolplex	Googolplex
Fossa Mariana	Marianergropen
Vladimirus Vysockij	Vladimir Vysotskij
Everestius mons	Mount Everest
Anatomia	Anatomi
Urbs	By
Napoleo I (imperator Franciae)	Napoléon Bonaparte
Olympus mons (Mars)	Olympus Mons
Physiologia	Fysiologi
Stella	Stjerne
Vesuvius	Vesuv
Sol	Solen
Ludovicus Pasteur	Louis Pasteur
Annus luce mensus	Lysår
Oppidulum	Landsby
Victor Hugo	Victor Hugo
Oceania	Oseania
Iosephus Garibaldi	Giuseppe Garibaldi
Urbs Vetus	Orvieto
Ludus gymnicus campestris	Friidrett
Censura	Sensur (informasjon)
Systema solare	Solsystemet
Balticum mare	Østersjøen
Tergeste	Trieste
Vistula	Wisła
Campi Elysii (via)	Avenue des Champs-Élysées
Viadrus	Oder
Dens	Tann
Hydrogenium	Hydrogen
Helium	Helium
Infernus	Helvete
Vicimedia Communia	Wikimedia Commons
Angela Merkel	Angela Merkel
Lithium	Litium
Beryllium	Beryllium
Megaphonum	Høyttaler
Liber	Bok
Dies	Dag
Timoria Orientalis	Øst-Timor
Nox	Natt
Annus	År
Saeculum	Århundre
Lodzia	Łódź
Rupes Alba	Mont Blanc
Rhenus	Rhinen
Asloa	Oslo
Bonna	Bonn
Sollemnitas Omnium Sanctorum	Allehelgensdag
Katovicum	Katowice
Gurges ater	Sort hull
Ludovicus Camonius	Luís de Camões
Ceres (planetula)	Ceres (dvergplanet)
Olisipo	Lisboa
Resovia	Rzeszów
Ichiro Suzuki	Ichiro Suzuki
Haumea (planetula)	Haumea
Rhodanus	Rhône
Makemake (planetula)	Makemake
Michael Bloomberg	Michael Bloomberg
Iona (Ebudes)	Iona
Eris (planetula)	Eris (dvergplanet)
Dubai	Dubai
Leonillus Messi	Lionel Messi
Patavium	Padova
Borium	Bor (grunnstoff)
Nicolaus Copernicus	Nikolaus Kopernikus
Versaliae	Versailles
Ludoviciburgum	Ludwigsburg
Carbonium	Karbon
Alexander Del Piero	Alessandro Del Piero
Rha	Volga
Nitrogenium	Nitrogen
Bergomum	Bergamo
Oxygenium	Oksygen
FC Internazionale Milano	Inter
Ioannes Moulin	Jean Moulin
Neil Young	Neil Young
Planeta	Planet
Cleopatra VII (regina Aegypti)	Kleopatra VII av Egypt
Musica	Musikk
Venetiae	Venezia
Naruto	Naruto
Padus	Po
Neva	Neva
Thermometrum	Termometer
Condate Redonum	Rennes
Insula (Francia)	Lille
Moscua	Moskva
Fluor	Fluor
Lingua Italiana	Italiensk
Neon	Neon
Chihuahua	Chihuahua (delstat)
Petropolis	St. Petersburg
Tzadia	Tsjad
Natrium	Natrium
Septentrio (plaga)	Nord
Magnesium	Magnesium
Neon Genesis Evangelion	Neon Genesis Evangelion
Aluminium	Aluminium
Nova Zelandia	New Zealand
Meridies	Sør
India	India
Silicium	Silisium
Francium	Francium
Tuvalu	Tuvalu
One Piece	One Piece
Phosphorus	Fosfor
Andreas Maria Ampère	André-Marie Ampère
Prosa	Prosa
Ferrum	Jern
Tonga	Tonga
Occidens	Vest
Alexander Volta	Alessandro Volta
Sulphur	Svovel
Samoa	Samoa
Oriens	Øst
Insulae Salomonis	Salomonøyene
Vanuatu	Vanuatu
Molière	Molière
Chlorum	Klor
Delphi (urbs Bataviae)	Delft
Papua Nova Guinea	Papua Ny-Guinea
Gulielmus Shakesperius	William Shakespeare
Fabula	Fabel
Hollandia Australis	Zuid-Holland
Belavia	Palau
Argon	Argon
Nauru	Nauru
Mozilla Firefox	Mozilla Firefox
Hollandia Septentrionalis	Noord-Holland
Civitates Foederatae Micronesiae	Mikronesiaføderasjonen
Kalium	Kalium
Zelandia	Zeeland
Calcium	Kalsium
Flevolandia	Flevoland
Plumbum	Bly
Insulae Marsalienses	Marshalløyene
Kiribati	Kiribati
Mongolia	Mongolia
Viti	Fiji
Scandium	Scandium
Stevie Wonder	Stevie Wonder
Hailprunna	Heilbronn
Titanium	Titan (grunnstoff)
Venetiola	Venezuela
Scacci	Sjakk
Saginava	Saginaw
Cingischam	Djengis Khan
Vanadium	Vanadium
Cenomannica	Maine
Chromium	Krom
Equus caballus	Hest
Amstelodamum	Amsterdam
Arma	Våpen
Animalia	Dyr
Surinamia	Surinam
Manganum	Mangan
Paraquaria	Paraguay
Guiana	Guyana
Ars	Kunst
Aequatoria	Ecuador
Rhenium	Rhenium
Columbia	Colombia
Cobaltum	Kobolt
Ioannes Racine	Jean Racine
Wolframium	Wolfram
Niccolum	Nikkel
Fragaria	Jordbærslekta
Petrus Corneille	Pierre Corneille
Buddhismus	Buddhisme
Groninga (urbs)	Groningen (by)
Bolivia	Bolivia
Osmium	Osmium
Groninga (provincia)	Groningen (provins)
Cuprum	Kobber
Trinitas et Tabacum	Trinidad og Tobago
Plantae	Planter
Sanctus Vincentius et Granatinae	Saint Vincent og Grenadinene
Zincum	Sink
Nova Hantonia	New Hampshire
Sancta Lucia (civitas)	Saint Lucia
Leonardus Vincius	Leonardo da Vinci
Sanctus Christophorus et Nives	Saint Kitts og Nevis
Fungi	Sopper
Darius Fo	Dario Fo
Iamaica	Jamaica
Stephanus Mallarmé	Stéphane Mallarmé
Granata (civitas Caribica)	Grenada
Frisia (provincia)	Friesland (Nederland)
Massachusetta	Massachusetts
Drenthia	Drenthe
Transisalania	Overijssel
Guatimalia	Guatemala
Geldria	Gelderland
Traiectum ad Rhenum (provincia)	Utrecht (provins)
Insulae Bahamenses	Bahamas
Connecticuta	Connecticut
Gallus	Tamhøns
Antiqua et Barbuda	Antigua og Barbuda
Havaii (civitas)	Hawaii
Honduria	Honduras
Dominica (civitas)	Dominica
Caesarea Insula	Jersey
Respublica Dominicana	Den dominikanske republikk
Porcus	Gris
Oceanus Arcticus	Nordishavet
Haiti	Haiti
Taumata­whakatangihanga­koauau­o­tamatea­turi­pukakapiki­maunga­horo­nuku­pokai­whenua­kitanatahu	Taumatawhakatangihangakoauauotamateaturipukakapikimaungahoronukupokaiwhenuakitanatahu
Salvatoria	El Salvador
Svolla	Zwolle
Irania	Iran
Stupiditas	Dumhet
Iracum	Irak
Alasca	Alaska
Assen	Assen
Sapientia	Visdom
Costarica	Costa Rica
Israël	Israel
Traiectum ad Rhenum	Utrecht (by)
Panama	Panama
Iemenia	Jemen
Lausanna	Lausanne
Virus biologicum	Virus
Lingua Polonica	Polsk
Iordania	Jordan
Nicaragua	Nicaragua
Florida	Florida
Chirgisia	Kirgisistan
